Performing system checks...

System check identified no issues (0 silenced).
March 29, 2015 - 12:52:12
[13/Apr/2015 21:40:00] "GET / HTTP/1.1" 200 1847
[13/Apr/2015 21:40:01] "GET /static/css/elab.css HTTP/1.1" 200 7713
[13/Apr/2015 21:40:03] "GET /static/jquery.min.js HTTP/1.1" 200 95786
[13/Apr/2015 21:40:05] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[13/Apr/2015 21:40:05] "GET /static/css/images/bg.gif HTTP/1.1" 200 9816
[13/Apr/2015 21:40:05] "GET /static/css/images/bg_b_nav.gif HTTP/1.1" 200 720
[13/Apr/2015 21:40:55] "GET /static/css/images/network_s.png HTTP/1.1" 200 169459
[13/Apr/2015 21:41:03] "GET /favicon.ico HTTP/1.1" 404 2699
[13/Apr/2015 21:41:04] "GET /favicon.ico HTTP/1.1" 404 2699
[14/Apr/2015 02:37:48] "GET / HTTP/1.1" 200 1847
[14/Apr/2015 02:37:48] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[14/Apr/2015 02:37:50] "GET /step HTTP/1.1" 200 2064
[14/Apr/2015 02:37:50] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[14/Apr/2015 02:37:51] "GET /experiance HTTP/1.1" 200 2931
[14/Apr/2015 02:37:51] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[14/Apr/2015 06:24:02] "GET /robots.txt HTTP/1.1" 404 2696
[14/Apr/2015 06:24:02] "GET / HTTP/1.1" 200 1847
[14/Apr/2015 06:27:39] "GET /step HTTP/1.1" 200 2064
[14/Apr/2015 06:28:23] "GET /home HTTP/1.1" 200 1847
[14/Apr/2015 06:29:26] "GET /a_propos HTTP/1.1" 200 1419
[14/Apr/2015 06:29:42] "GET /static/jquery.min.js HTTP/1.1" 200 95786
[14/Apr/2015 06:29:43] "GET /static/css/elab.css HTTP/1.1" 200 7713
[14/Apr/2015 06:31:14] "GET /experiance HTTP/1.1" 200 2931
[14/Apr/2015 10:37:50] "GET /home HTTP/1.1" 200 1847
[14/Apr/2015 10:57:09] "GET / HTTP/1.1" 200 1847
[14/Apr/2015 10:57:09] "GET /static/css/elab.css HTTP/1.1" 200 7713
[14/Apr/2015 10:57:10] "GET /static/jquery.min.js HTTP/1.1" 200 95786
[14/Apr/2015 10:57:11] "GET /static/css/images/bg.gif HTTP/1.1" 200 9816
[14/Apr/2015 10:57:11] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[14/Apr/2015 10:57:11] "GET /static/css/images/bg_b_nav.gif HTTP/1.1" 200 720
[14/Apr/2015 10:57:13] "GET /static/css/images/network_s.png HTTP/1.1" 200 169459
[14/Apr/2015 10:57:13] "GET /static/css/images/bg_nav.gif HTTP/1.1" 200 696
[14/Apr/2015 10:57:15] "GET /experiance HTTP/1.1" 200 2931
[14/Apr/2015 10:57:16] "GET /media/unknown.png HTTP/1.1" 200 10977
[14/Apr/2015 10:57:17] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[14/Apr/2015 10:58:07] "POST /experiance HTTP/1.1" 200 11211
[14/Apr/2015 10:58:07] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[14/Apr/2015 10:58:07] "GET /media/Database/BBAFaces/happy/s01.jpg.jpg HTTP/1.1" 200 4401
[14/Apr/2015 10:58:07] "GET /media/Database/BBAFaces/bottomlight/s06.jpg.jpg HTTP/1.1" 200 4467
[14/Apr/2015 10:58:07] "GET /media/Database/BBAFaces/glasses/s07.jpg.jpg HTTP/1.1" 200 4787
[14/Apr/2015 10:58:07] "GET /media/tmp/yhv7spk21qnwp6jklg280wl5dnl1qars/moy.jpg HTTP/1.1" 200 2589
[14/Apr/2015 10:58:07] "GET /media/DownLoad_green.png HTTP/1.1" 200 2034
[14/Apr/2015 10:58:08] "GET /media/tmp/yhv7spk21qnwp6jklg280wl5dnl1qars/eigenface0.jpg HTTP/1.1" 200 476
[14/Apr/2015 10:58:09] "GET /media/tmp/yhv7spk21qnwp6jklg280wl5dnl1qars/eigenface1.jpg HTTP/1.1" 200 3418
[14/Apr/2015 10:58:09] "GET /media/tmp/yhv7spk21qnwp6jklg280wl5dnl1qars/eigenface2.jpg HTTP/1.1" 200 2943
[14/Apr/2015 10:58:10] "GET /media/tmp/yhv7spk21qnwp6jklg280wl5dnl1qars/eigenface3.jpg HTTP/1.1" 200 4810
[14/Apr/2015 10:58:13] "GET /media/tmp/yhv7spk21qnwp6jklg280wl5dnl1qars/photo.jpg HTTP/1.1" 200 5599
[14/Apr/2015 10:58:13] "GET /media/tmp/yhv7spk21qnwp6jklg280wl5dnl1qars/dist.png HTTP/1.1" 200 21466
[14/Apr/2015 11:25:48] "GET / HTTP/1.1" 200 1847
[14/Apr/2015 11:25:49] "GET /static/css/elab.css HTTP/1.1" 304 0
[14/Apr/2015 11:25:49] "GET /static/jquery.min.js HTTP/1.1" 304 0
[14/Apr/2015 11:25:51] "GET /static/css/images/bg.gif HTTP/1.1" 304 0
[14/Apr/2015 11:25:51] "GET /static/css/images/network_s.png HTTP/1.1" 304 0
[14/Apr/2015 11:25:51] "GET /static/css/images/bg_b_nav.gif HTTP/1.1" 304 0
[14/Apr/2015 11:25:51] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2761
[14/Apr/2015 11:25:51] "GET /favicon.ico HTTP/1.1" 404 2698
[14/Apr/2015 11:25:51] "GET /favicon.ico HTTP/1.1" 404 2698
[14/Apr/2015 11:25:54] "GET /static/css/images/bg_nav.gif HTTP/1.1" 304 0
